Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Ivan Rabb,2018,2019,F,6-10,220,"February 4, 1997",California
Luther Rackley,1970,1974,C,6-10,220,"June 11, 1946",Xavier
Dino Radja*,1994,1997,F-C,6-11,225,"April 24, 1967",
Howie Rader,1949,1949,G-F,6-1,190,"March 29, 1921",Long Island University
Mark Radford,1982,1983,G,6-4,190,"July 5, 1959",Oregon State
Wayne Radford,1979,1979,G,6-3,205,"May 29, 1956",Indiana
Vladimir Radmanović,2002,2013,F,6-10,227,"November 19, 1980",
Aleksandar Radojević,2000,2005,C,7-3,250,"August 8, 1976",Barton County Community College
Frank Radovich,1962,1962,F,6-8,235,"March 3, 1938",Indiana
Moe Radovich,1953,1953,G,6-0,160,"May 5, 1929",Wyoming
Miroslav Raduljica,2014,2015,C,7-0,250,"January 5, 1988",
Ray Radziszewski,1958,1958,F,6-5,210,"March 1, 1935",Saint Joseph's
Ray Ragelis,1952,1952,F,6-4,205,"December 10, 1928",Northwestern
Sherwin Raiken,1953,1953,G,6-2,185,"October 29, 1928",Villanova
Ed Rains,1982,1983,F,6-7,190,"December 24, 1956",University of South Alabama
Igor Rakočević,2003,2003,G,6-3,183,"March 29, 1978",
Kurt Rambis,1982,1995,F,6-8,213,"February 25, 1958",Santa Clara
Peter John Ramos,2005,2005,C,7-3,275,"May 13, 1985",
Cal Ramsey,1960,1961,F,6-4,200,"July 13, 1937",NYU
Frank Ramsey*,1955,1964,F-G,6-3,190,"July 13, 1931",Kentucky
Jahmi'us Ramsey,2021,2022,G,6-3,190,"June 9, 2001",Texas Tech
Ray Ramsey,1949,1949,G-F,6-2,165,"July 18, 1921",Bradley
Mark Randall,1992,1995,F,6-8,235,"September 30, 1967",Kansas
Chasson Randle,2017,2021,G,6-2,185,"February 5, 1993",Stanford
Julius Randle,2015,2024,F-C,6-8,250,"November 29, 1994",Kentucky
Anthony Randolph,2009,2014,F,6-10,205,"July 15, 1989",LSU
Shavlik Randolph,2006,2015,F,6-10,240,"November 24, 1983",Duke
Zach Randolph,2002,2018,F-C,6-9,250,"July 16, 1981",Michigan State
Wally Rank,1981,1981,F-G,6-6,220,"March 1, 1958",San Jose State
Kelvin Ransey,1981,1986,G,6-1,170,"May 3, 1958",Ohio State
Sam Ranzino,1952,1952,G,6-1,185,"June 23, 1928",NC State
Bobby Rascoe,1968,1970,G-F,6-4,205,"July 22, 1940",Western Kentucky
Blair Rasmussen,1986,1993,C,7-0,250,"November 13, 1962",Oregon
Xavier Rathan-Mayes,2018,2018,G,6-4,208,"April 29, 1994",Florida State
George Ratkovicz,1950,1955,C-F,6-6,220,"November 13, 1922",
Ed Ratleff,1974,1978,F-G,6-6,195,"March 29, 1950",Cal State Long Beach
Mike Ratliff,1973,1974,C,6-10,230,"June 7, 1951",University of Wisconsin-Eau Claire
Theo Ratliff,1996,2011,C-F,6-10,225,"April 17, 1973",Wyoming
Andy Rautins,2011,2011,G,6-4,190,"November 2, 1986",Syracuse
Leo Rautins,1984,1985,F,6-8,215,"March 20, 1960","Minnesota, Syracuse"
Allan Ray,2007,2007,G,6-2,190,"June 17, 1984",Villanova
Clifford Ray,1972,1981,C,6-9,230,"January 21, 1949",Oklahoma
Don Ray,1950,1950,F-C,6-5,190,"July 8, 1921",Western Kentucky
James Ray,1981,1983,F,6-8,215,"July 27, 1957",Jacksonville University
Jim Ray,1957,1960,G,6-1,180,"January 12, 1934",Toledo
Jimmy Rayl,1968,1969,G,6-2,175,"June 21, 1941",Indiana
Craig Raymond,1969,1973,C,6-11,235,"April 5, 1945",BYU
Connie Rea,1954,1954,G-F,6-3,175,"January 27, 1931",Centenary (LA)
Duop Reath,2024,2024,C,6-11,245,"June 26, 1996","Lee College, LSU"
Austin Reaves,2022,2024,G,6-5,206,"May 29, 1998","Wichita State, Oklahoma"
Joe Reaves,1974,1974,F,6-5,210,"May 27, 1950",Bethel College
Josh Reaves,2020,2020,G,6-4,214,"June 4, 1997",Penn State
Željko Rebrača,2002,2006,C,7-0,257,"April 9, 1972",
Eldridge Recasner,1995,2002,G,6-3,190,"December 14, 1967",Washington
Michael Redd,2001,2012,G,6-6,220,"August 24, 1979",Ohio State
Cam Reddish,2020,2024,F,6-8,218,"September 1, 1999",Duke
Frank Reddout,1954,1954,F,6-5,195,"March 4, 1931",Syracuse
J.J. Redick,2007,2021,G,6-3,200,"June 24, 1984",Duke
Marlon Redmond,1979,1980,G,6-6,188,"April 15, 1955",San Francisco
Davon Reed,2018,2023,G,6-5,208,"June 11, 1995",Miami (FL)
Hub Reed,1959,1965,C-F,6-9,215,"October 4, 1936",Oklahoma City University
Justin Reed,2005,2007,F,6-8,240,"January 16, 1982",Ole Miss
Paul Reed,2021,2024,F,6-9,210,"June 14, 1999",DePaul
Ron Reed,1966,1967,F,6-5,205,"November 2, 1942",Notre Dame
Willie Reed,2016,2018,F-C,6-10,220,"May 16, 1990",Saint Louis
Willis Reed*,1965,1974,C-F,6-10,235,"June 25, 1942",Grambling State University
Bryant Reeves,1996,2001,C,7-0,275,"June 8, 1973",Oklahoma State
Khalid Reeves,1995,2000,G,6-3,199,"July 15, 1972",Arizona
Richie Regan,1956,1958,G,6-2,180,"November 30, 1930",Seton Hall
Don Rehfeldt,1951,1952,F,6-7,210,"January 7, 1927",Wisconsin
Billy Reid,1981,1981,G,6-5,190,"September 10, 1957","New Mexico, San Francisco"
Don Reid,1996,2003,F,6-8,250,"December 30, 1973",Georgetown
J.R. Reid,1990,2001,F,6-9,247,"March 31, 1968",UNC
Jim Reid,1968,1968,F,6-6,210,"August 3, 1945",Winston-Salem State
Naz Reid,2020,2024,F,6-9,264,"August 26, 1999",LSU
Robert Reid,1978,1991,F-G,6-8,205,"August 30, 1955",St. Mary's University
Ryan Reid,2012,2012,F,6-8,232,"October 30, 1986",Florida State
Jared Reiner,2005,2007,C,6-11,255,"April 8, 1982",Iowa
Chick Reiser,1948,1950,G-F,5-11,165,"December 17, 1914",NYU
Richard Rellford,1988,1988,F,6-6,230,"February 16, 1964",Michigan
